## Skjema
Kartlegger	Transekt	Tid	Dato	East	North	Dybde	Bunnforhold	Rekke	Klasse	Orden	Familie	Art (latin)	Norsk navn	Antall	Morfotype_svamp	Naturtype
Åkerblå AS	segment_T02-12_16	12:35:23	2024-07-05 00:00:00	12.0501049471729	66.143879304874	27.860656	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-12_17	12:35:23	2024-07-05 00:00:00	12.0501049471729	66.143879304874	27.860656	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-12_17	12:35:23	2024-07-05 00:00:00	12.0501049471729	66.143879304874	27.860656	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-12_17	12:35:23	2024-07-05 00:00:00	12.0501049471729	66.143879304874	27.860656	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-12_17	12:35:23	2024-07-05 00:00:00	12.0501049471729	66.143879304874	27.860656	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-12_17	12:35:23	2024-07-05 00:00:00	12.0501049471729	66.143879304874	27.860656	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-12_17	12:35:23	2024-07-05 00:00:00	12.0501049471729	66.143879304874	27.860656	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-16_38	14:23:13	2024-07-05 00:00:00	12.0373363591701	66.1525302214505	32.507999	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-8_42	10:55:19	2024-07-05 00:00:00	12.0538154585842	66.1516905801639	68.402641	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-8_41	10:55:19	2024-07-05 00:00:00	12.0538154585842	66.1516905801639	68.402641	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-8_41	10:55:19	2024-07-05 00:00:00	12.0538154585842	66.1516905801639	68.402641	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-8_41	10:55:19	2024-07-05 00:00:00	12.0538154585842	66.1516905801639	68.402641	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-8_41	10:55:19	2024-07-05 00:00:00	12.0538154585842	66.1516905801639	68.402641	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-3_68	09:10:21	2024-07-05 00:00:00	12.0538154585842	66.1516905801639	68.402641	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-3_68	09:10:21	2024-07-05 00:00:00	12.0538154585842	66.1516905801639	68.402641	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-3_73	09:10:21	2024-07-05 00:00:00	12.0538154585842	66.1516905801639	68.402641	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-3_73	09:10:21	2024-07-05 00:00:00	12.0538154585842	66.1516905801639	68.402641	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-1_82	08:31:06	2024-07-05 00:00:00	12.0510082211245	66.1436483014834	32.374141	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-1_82	08:31:06	2024-07-05 00:00:00	12.0510082211245	66.1436483014834	32.374141	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-1_82	08:31:06	2024-07-05 00:00:00	12.0510082211245	66.1436483014834	32.374141	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-1_83	08:31:06	2024-07-05 00:00:00	12.0501049471729	66.143879304874	27.860656	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T02-1_83	08:31:06	2024-07-05 00:00:00	12.0501049471729	66.143879304874	27.860656	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T01-15_84	17:29:48	2024-07-04 00:00:00	12.0456473161655	66.1543126515207	25.7	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T01-15_84	17:29:48	2024-07-04 00:00:00	12.0456473161655	66.1543126515207	25.7	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T01-15_85	17:29:48	2024-07-04 00:00:00	12.0456473161655	66.1543126515207	25.7	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T01-14_87	16:42:57	2024-07-04 00:00:00	12.0456473161655	66.1543126515207	25.7	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T01-14_87	16:42:57	2024-07-04 00:00:00	12.0456473161655	66.1543126515207	25.7	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T01-14_87	16:42:57	2024-07-04 00:00:00	12.0456473161655	66.1543126515207	25.7	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T01-14_87	16:42:57	2024-07-04 00:00:00	12.0456473161655	66.1543126515207	25.7	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
Åkerblå AS	segment_T01-14_88	16:42:57	2024-07-04 00:00:00	12.0456473161655	66.1543126515207	25.7	grovt sediment (sand & grus): 0,063-63 mm (G)	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten maximus	Kamskjell	1		
